Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
England,,,,,,,,,,,,,,,,12.8$200000,,,,21.1$385000,20.9$600000,10.9$2175000,9.5$2392500,0.0$2610000,0.0$1200000,,,,,,,,,,,,,,,,,,
England,,,,,,,,,,,,,,,,,,,,,,,6.0$349458,8.0$563679,,,,,,,,,,,,,,,,,,,
England,,,,,,,,,,,,,,,,,,,,,,,,1.9$838560,27.0$901440,0.0$964320,0.0$90000,,,,,,,,,,,,,,,,
England,,,,,,,,,,,,,,,,,,,,,,,,,24.4$3358320,31.0$3610200,33.0$3862080,31.8$4881669,36.6$6404750,27.9$10000000,26.0$10800000,26.9$11600000,20.8$12400000,14.7$13200000,14.1$4500000,,,,,,,,
England,,,,,,,,,,,,,,,,,,,,,,,,,27.3$2273400,33.4$2443920,37.5$2614440,33.8$3320339,34.0$9385000,37.9$10370425,39.1$11345000,39.4$12325000,38.7$13305000,35.1$14275000,33.6$9714461,32.4$10151612,26.5$18000000,13.0$17190000,17.8$16747954,0.0$5000000,0.0$5000000,0.0$5000000,
England,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9$412718,12.9$0,6.0$330199,5.0$364461,,,,,,,,,,,,,
England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2$1120200,6.5$1204200,22.5$1288200,26.9$2253306,9.2$947907,,,,,,,,,
England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4$3013512,14.0$2897976,12.9$3013512,,,,,,,,
England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0$1645200,20.2$1952760,29.9$2281800,33.3$3872215,36.0$16071429,35.5$17357143
France,,,,12.5$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,16.3$1226880,24.6$1411000,25.9$1594920,14.5$4500000,18.4$5062500,14.6$5625000,0.0$6187500,0.0$6750000,0.0$3656250,0.0$1968750,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,5.6$1461960,5.1$1571640,12.6$1681200,11.9$1600000,6.0$1760000,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,29.4$744480,33.8$800400,34.4$856200,34.2$1545441,33.9$8400000,32.5$9450000,33.5$10500000,34.1$11550000,30.9$12600000,32.4$13500000,32.1$12500000,32.9$12500000,29.4$12500000,28.7$12500000,27.5$13437500,25.2$14445313,19.5$15453126,17.9$5000000,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,8.3$0,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,25.3$1021080,18.2$1097640,35.5$1174200,31.1$1870501,28.1$9000000,34.0$9000000,35.4$9000000,33.9$9000000,25.0$9000000,22.8$4500000,25.0$4702500,24.5$7500000,18.2$7000000,17.6$7000000,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,14.1$1527946,20.0$1785960,22.7$1910520,26.9$2535260,19.9$3470770,24.6$5300000,22.5$5300000,19.4$5300000,21.9$6523166,20.3$1005097,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,18.9$936600,18.6$1006800,18.2$1077120,11.4$1939893,12.1$884881,11.6$3250000,15.6$3250000,11.4$3500000,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,7.0$0,15.1$664209,18.7$770610,21.5$4500000,20.8$4140000,17.8$4000000,16.4$4360000,10.8$1146337,19.5$1500000,9.5$1500000,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7$802000,11.9$802000,,,,,17.9$447298,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4$412718,10.0$687456,13.5$875000,7.3$945000,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8$938760,0$1009200,6.3$1079640,8.7$762196,18.7$0,16.5$4000000,16.2$4000000,18.8$4000000,25.6$4000000,17.9$15944154,14.9$16661641,14.6$15944154,21.3$15450051,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7$2135400,24.2$2295480,30.1$2455680,32.8$3128536,30.4$12000000,36.8$11300000,35.3$11100000,30.6$12200000,21.9$13400000,22.1$17000000,5.7$17765000,16.5$20261173,10.0$6866370,0.0$6431667,0.0$6431666,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9$1276320,5.0$1372080,10.0$1467840,,,,14.1$981084,14.6$4300000,15.0$4600000,0.0$4961798,0.0$5285394,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4$1040640,24.8$1118760,31.5$1196760,30.4$2155365,38.5$10850000,36.0$11295250,33.5$11765500,35.0$12235750,34.0$20869566,31.0$22434783,31.4$24000000,23.0$25565217,27.4$10477533,24.8$12026998,18.3$10843350
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5$1075440,17.7$1156080,21.7$1236720,12.2$2227333,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9$1563120,20.6$1680360,21.8$1797600,10.9$2761114,15.6$3898692,11.0$2800000,11.4$1800000,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0$473604,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3$1361400,19.8$1422720,28.6$1483920,32.5$2288205,32.9$17000000,32.2$17000000,31.5$17000000,31.5$17000000,30.0$17450000,29.5$17142857,20$18000000
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8$1400000,10.5$1463000,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6$1078800,26.3$1127400,31.7$1175880,33.9$2121288,32.4$21974719,31.8$23241573,34.3$25008427,30.8$27525281,32.1$35344828,32.3$38172414
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0$820000,7.8$855000,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2$1790280,17.6$1709720,14.0$1709720,9.7$1524305,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5$148552,11.8$97029,,,7.6$508891,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2$1326960,15.5$1386600,13.4$1544951,18.1$844170,13.2$1939350,18.1$1824003,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9$3501120,21.0$4155720,20.8$4855800,9.8$6176578,11.8$1789256,4.0$2036318
