Name,Country,Start,Seasons,Minutes,Salary,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Arvydas Sabonis,Lithuania,1995,8,24.4,47838481,,,,,,,,,,,,,,,,23.8$2200000,25.5$2640000,32.0$3080000,27.0$9000000,25.6$9818481,21.3$11250000,,0.0$3000000,15.5$6850000,,,,,,,,,,,,,,,,,,,
George Zídek,Czech Republic,1995,3,8.3,2081200,,,,,,,,,,,,,,,,12.5$603000,7.2$694000,5.3$784200,,,,,,,,,,,,,,,,,,,,,,,,,
John Amaechi,England,1995,7,15,9562500,,,,,,,,,,,,,,,,12.8$200000,,,,21.1$385000,20.9$600000,10.9$2175000,9.5$2392500,0.0$2610000,0.0$1200000,,,,,,,,,,,,,,,,,,
Predrag Danilović,Serbia,1995,2,30.2,3347000,,,,,,,,,,,,,,,,28.5$1455000,31.9$1892000,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefano Rusconi,Italy,1995,1,4.3,415000,,,,,,,,,,,,,,,,4.3$415000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Esposito,Italy,1995,1,9.4,500000,,,,,,,,,,,,,,,,9.4$500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Müürsepp,Estonia,1996,3,11.5,1839320,,,,,,,,,,,,,,,,,8.3$401000,14.7$675120,0.0$763200,,,,,,,,,,,,,,,,,,,,,,,,
Vitaly Potapenko,Ukraine,1996,11,17,40637644,,,,,,,,,,,,,,,,,15.5$1068000,17.7$1228560,27.9$1339000,22.7$3810000,23.2$4290000,17.0$4762500,15.5$5238750,21.8$5715000,10.2$6191250,10.7$3320000,4.3$3674584,,,,,,,,,,,,,,,,
Zydrunas Ilgauskas,Lithuania,1996,14,27.4,124487723,,,,,,,,,,,,,,,,,0.0$720000,29.0$828000,0.0$9000000,25.7$10130000,,21.4$11250000,30.0$12375000,31.3$13500000,33.5$14625000,29.3$8740000,27.3$9442697,30.4$10142156,27.2$10841615,20.9$11541074,15.9$1352181,,,,,,,,,,,,
Jeff Nordgaard,Poland,1997,1,3.7,242000,,,,,,,,,,,,,,,,,,3.7$242000,,,,,,,,,,,,,,,,,,,,,,,,,
Marko Milič,Slovenia,1997,2,4.8,592000,,,,,,,,,,,,,,,,,,4.9$242000,4.8$350000,,,,,,,,,,,,,,,,,,,,,,,,
Tariq Abdul-Wahad,France,1997,10,19.1,37982800,,,,,,,,,,,,,,,,,,16.3$1226880,24.6$1411000,25.9$1594920,14.5$4500000,18.4$5062500,14.6$5625000,0.0$6187500,0.0$6750000,0.0$3656250,0.0$1968750,,,,,,,,,,,,,,,,
Bruno Šundov,Croatia,1998,7,5.5,4493990,,,,,,,,,,,,,,,,,,,3.7$287500,4.4$385000,10.9$997000,4.0$565850,5.3$637435,6.6$751159,3.5$870046,,,,,,,,,,,,,,,,,,
Cory Carr,Israel,1998,1,14.9,287500,,,,,,,,,,,,,,,,,,,14.9$287500,,,,,,,,,,,,,,,,,,,,,,,,
Dirk Nowitzki,Germany,1998,21,33,255371801,,,,,,,,,,,,,,,,,,,20.4$1472640,35.8$1583040,38.1$1693560,38.0$2157595,39.0$10067750,37.9$11326219,38.7$12584688,38.1$13843156,36.2$15101625,36.0$16360094,37.7$18077904,37.5$19795714,34.3$17278618,33.5$19092873,31.3$20907128,32.9$22721381,29.6$7974482,31.5$8333334,26.4$25000000,24.7$5000000,15.6$5000000,,,,
Kelly McCarty,Russia,1998,1,8,287500,,,,,,,,,,,,,,,,,,,2.0$287500,,,,,,,,,,,,,,,,,,,,,,,,
Kornél Dávid,Hungary,1998,3,13.5,988941,,,,,,,,,,,,,,,,,,,18.0$287500,14.8$202941,7.7$498500,,,,,,,,,,,,,,,,,,,,,,
Mirsad Türkcan,Turkey,1998,3,5.3,2639545,,,,,,,,,,,,,,,,,,,0.0$739400,5.3$830745,0.0$1069400,,,,,,,,,,,,,,,,,,,,,,
Rasho Nesterović,Slovenia,1998,12,21,50326401,,,,,,,,,,,,,,,,,,,15.0$0,21.0$1050240,16.9$1123560,27.0$1725788,30.4$2436813,28.7$5600000,25.5$6160000,18.9$6720000,21.0$7280000,20.9$7840000,17.3$8400000,9.8$1990000,,,,,,,,,,,,,
Ryan Stack,North Macedonia,1998,2,9.5,672500,,,,,,,,,,,,,,,,,,,11.1$287500,7.9$385000,,,,,,,,,,,,,,,,,,,,,,,
Shammond Williams,Georgia,1998,7,12.1,7301179,,,,,,,,,,,,,,,,,,,2.0$0,2.0$500000,12.0$550000,17.9$1750000,12.1$2000000,24.1$751179,,,14.4$1750000,,,,,,,,,,,,,,,,
Vladimir Stepania,Georgia,1998,7,12.4,5759509,,,,,,,,,,,,,,,,,,,13.6$543000,6.7$700320,9.7$749160,13.2$565850,20.2$1350000,10.8$751179,0.0$1100000,,,,,,,,,,,,,,,,,,
Aleksandar Radojević,Bosnia,1999,4,9.3,4995526,,,,,,,,,,,,,,,,,,,,8.0$1325760,0.0$1425120,0.0$1524600,10.7$720046,,,,,,,,,,,,,,,,,,,,
Andrei Kirilenko,Russia,1999,14,28.1,107735998,,,,,,,,,,,,,,,,,,,,0.0$632400,,26.2$831120,32.9$1671694,27.7$893400,37.1$955800,37.7$10983000,29.3$12364000,30.8$13735000,27.3$15106000,29.0$16452000,31.2$17823000,,31.8$9779349,19.0$3183000,5.1$3326235,,,,,,,,
Cal Bowdler,Ireland,1999,3,9.7,3308400,,,,,,,,,,,,,,,,,,,,9.2$1025880,8.5$1102800,11.3$1179720,,,,,,,,,,,,,,,,,,,,,
Efthimios Rentzias,Greece,1999,4,4.1,3050085,,,,,,,,,,,,,,,,,,,,0.0$658700,,,4.1$903360,0.0$971160,0.0$516865,,,,,,,,,,,,,,,,,,
Dalibor Bagarić,Croatia,2000,4,9.3,4079663,,,,,,,,,,,,,,,,,,,,,7.4$795000,12.8$854640,7.6$830947,0.0$1599076,,,,,,,,,,,,,,,,,,,
Hanno Mottola,Finland,2000,2,15.1,782819,,,,,,,,,,,,,,,,,,,,,13.5$316969,16.7$465850,,,,,,,,,,,,,,,,,,,,,
Hedo Türkoğlu,Turkey,2000,15,25.4,90557891,,,,,,,,,,,,,,,,,,,,,16.8$1131240,24.6$1216080,17.5$1300920,25.9$1995611,26.2$4903000,33.5$5393300,31.1$5883600,36.9$6373900,36.6$6864200,30.7$9000000,31.4$10215850,31.2$11015850,17.2$11815850,10.3$12000000,11.4$1448490,,,,,,,,
Jake Tsakalidis,Greece,2000,7,14.9,12741982,,,,,,,,,,,,,,,,,,,,,16.6$763200,23.6$820400,16.5$877680,13.3$1580702,9.0$2900000,14.4$2900000,10.8$2900000,,,,,,,,,,,,,,,,
Jérôme Moïso,France,2000,5,8.2,8074800,,,,,,,,,,,,,,,,,,,,,5.6$1461960,5.1$1571640,12.6$1681200,11.9$1600000,6.0$1760000,,,,,,,,,,,,,,,,,,
Slava Medvedenko,Ukraine,2000,7,9.5,10347951,,,,,,,,,,,,,,,,,,,,,5.6$316969,10.3$465850,10.7$1400000,21.2$1540000,9.8$3000000,3.0$3000000,5.8$625132,,,,,,,,,,,,,,,,
Alvin Jones,Luxembourg,2001,1,5.5,332817,,,,,,,,,,,,,,,,,,,,,,5.5$332817,,,,,,,,,,,,,,,,,,,,,
Antonis Fotsis,Greece,2001,1,11.4,332817,,,,,,,,,,,,,,,,,,,,,,11.4$332817,,,,,,,,,,,,,,,,,,,,,
Mehmet Okur,Turkey,2001,10,27.4,72935000,,,,,,,,,,,,,,,,,,,,,,,19.0$1000000,22.3$1100000,28.1$7500000,35.9$8250000,33.3$8250000,33.2$8500000,33.5$8500000,29.4$9000000,12.9$9945000,26.7$10890000,,,,,,,,,,,
Omar Cook,Montenegro,2001,3,11.5,292230,,,,,,,,,,,,,,,,,,,,,,0.0$292230,,8.2$0,14.8$0,,,,,,,,,,,,,,,,,,
Pau Gasol,Spain,2001,19,32.7,225440912,,,,,,,,,,,,,,,,,,,,,,36.7$2970840,36.0$3193680,31.5$3417000,32.0$4318481,39.2$10993000,36.2$12364000,35.6$13735000,37.0$15106000,37.0$16452000,37.0$17823000,37.4$18714150,33.8$19000000,31.4$19285850,34.4$7128000,31.8$7448760,25.4$15500000,23.5$16000000,12.0$16452611,0.0$5538540,,,
Predrag Drobnjak,Montenegro,2001,4,19.6,6054971,,,,,,,,,,,,,,,,,,,,,,18.3$478558,24.2$526413,15.6$2500000,20.2$2550000,,,,,,,,,,,,,,,,,,
Primož Brezec,Slovenia,2001,8,13.5,13327978,,,,,,,,,,,,,,,,,,,,,,7.3$749160,5.0$805320,4.0$861600,31.6$1554326,27.4$2750000,14.4$2750000,,8.5$1107572,,9.5$2750000,,,,,,,,,,,,
Ratko Varda,Bosnia,2001,2,6,457801,,,,,,,,,,,,,,,,,,,,,,6.0$332817,0.0$124984,,,,,,,,,,,,,,,,,,,,
Tony Parker,France,2001,18,30.1,168282460,,,,,,,,,,,,,,,,,,,,,,29.4$744480,33.8$800400,34.4$856200,34.2$1545441,33.9$8400000,32.5$9450000,33.5$10500000,34.1$11550000,30.9$12600000,32.4$13500000,32.1$12500000,32.9$12500000,29.4$12500000,28.7$12500000,27.5$13437500,25.2$14445313,19.5$15453126,17.9$5000000,,,,
Vladimir Radmanović,Serbia,2001,12,20.8,43101141,,,,,,,,,,,,,,,,,,,,,,20.2$1452000,26.5$1560840,30.1$1669800,29.5$2300984,25.6$3166155,17.9$5215000,22.8$5632200,18.5$6049400,21.7$6466600,15.8$6883800,15.4$1352181,5.8$1352181,,,,,,,,,,
Željko Rebrača,Serbia,2001,6,14.8,20290000,,,,,,,,,,,,,,,,,,,,,,15.9$3500000,16.3$3850000,11.4$4200000,16.0$2500000,14.2$3000000,0.0$3240000,,,,,,,,,,,,,,,,
Boštjan Nachbar,Slovenia,2002,6,15.3,11614320,,,,,,,,,,,,,,,,,,,,,,,5.5$1224000,11.5$1396440,18.9$1493880,13.9$2500000,20.2$2500000,22.1$2500000,,,,,,,,,,,,,,,
Cezary Trybański,Poland,2002,3,3.9,4800000,,,,,,,,,,,,,,,,,,,,,,,5.7$1500000,2.1$1600000,0.0$1700000,,,,,,,,,,,,,,,,,,
Dan Gadzuric,Netherlands,2002,10,13.4,37609158,,,,,,,,,,,,,,,,,,,,,,,15.5$349458,16.8$563679,22.0$695046,12.0$4750000,15.6$5252065,10.5$5751130,14.0$6250195,9.8$6749260,11.0$7248325,6.5$0,,,,,,,,,,,
Gordan Giriček,Croatia,2002,6,22.8,18940000,,,,,,,,,,,,,,,,,,,,,,,28.3$1400000,28.0$1540000,20.5$4000000,25.8$4000000,19.5$4000000,14.8$4000000,,,,,,,,,,,,,,,
Igor Rakočević,Serbia,2002,1,5.8,349458,,,,,,,,,,,,,,,,,,,,,,,5.8$349458,,,,,,,,,,,,,,,,,,,,
